name,workload,distribution,access,lock,memory_affinity,partitions,threads,throughput
hashbrown,Read,Uniform,Erew,Sharded,Local,1,1,6245155
hashbrown,Read,Uniform,Erew,Sharded,Local,2,2,12703404
hashbrown,Read,Uniform,Erew,Sharded,Local,3,3,20303361
hashbrown,Read,Uniform,Erew,Sharded,Local,4,4,26033612
hashbrown,Read,Uniform,Erew,Sharded,Local,5,5,34850190
hashbrown,Read,Uniform,Erew,Sharded,Local,6,6,41226119
hashbrown,Read,Uniform,Erew,Sharded,Local,7,7,47107422
hashbrown,Read,Uniform,Erew,Sharded,Local,8,8,52740776
hashbrown,Read,Uniform,Erew,Sharded,Local,9,9,62409219
hashbrown,Read,Uniform,Erew,Sharded,Local,10,10,71806103
hashbrown,Read,Uniform,Erew,Sharded,Local,11,11,78648186
hashbrown,Read,Uniform,Erew,Sharded,Local,12,12,84724568
hashbrown,Read,Uniform,Erew,Sharded,Local,13,13,90785254
hashbrown,Read,Uniform,Erew,Sharded,Local,14,14,95987924
hashbrown,Read,Uniform,Erew,Sharded,Local,15,15,102115934
hashbrown,Read,Uniform,Erew,Sharded,Local,16,16,107457377
hashbrown,Read,Uniform,Erew,Shared,Local,1,1,5784206
hashbrown,Read,Uniform,Erew,Shared,Local,2,2,11803874
hashbrown,Read,Uniform,Erew,Shared,Local,3,3,18584243
hashbrown,Read,Uniform,Erew,Shared,Local,4,4,24156464
hashbrown,Read,Uniform,Erew,Shared,Local,5,5,32448880
hashbrown,Read,Uniform,Erew,Shared,Local,6,6,37439416
hashbrown,Read,Uniform,Erew,Shared,Local,7,7,30305777
hashbrown,Read,Uniform,Erew,Shared,Local,8,8,48659206
hashbrown,Read,Uniform,Erew,Shared,Local,9,9,58552508
hashbrown,Read,Uniform,Erew,Shared,Local,10,10,55740263
hashbrown,Read,Uniform,Erew,Shared,Local,11,11,73182685
hashbrown,Read,Uniform,Erew,Shared,Local,12,12,78798723
hashbrown,Read,Uniform,Erew,Shared,Local,13,13,84186679
hashbrown,Read,Uniform,Erew,Shared,Local,14,14,89355059
hashbrown,Read,Uniform,Erew,Shared,Local,15,15,69238568
hashbrown,Read,Uniform,Erew,Shared,Local,16,16,99135316
hashbrown,Read,Uniform,Erew,Sharded,Remote,1,1,4526225
hashbrown,Read,Uniform,Erew,Sharded,Remote,2,2,8978361
hashbrown,Read,Uniform,Erew,Sharded,Remote,3,3,13868727
hashbrown,Read,Uniform,Erew,Sharded,Remote,4,4,17891624
hashbrown,Read,Uniform,Erew,Sharded,Remote,5,5,23661775
hashbrown,Read,Uniform,Erew,Sharded,Remote,6,6,28074364
hashbrown,Read,Uniform,Erew,Sharded,Remote,7,7,32174691
