name,workload,distribution,access,lock,memory_affinity,partitions,threads,throughput
hashbrown,Read,Zipf,Crew,Shared,Local,32768,1,4309529
hashbrown,Read,Zipf,Crew,Shared,Local,32768,2,8524447
hashbrown,Read,Zipf,Crew,Shared,Local,32768,3,12792785
hashbrown,Read,Zipf,Crew,Shared,Local,32768,4,17076135
hashbrown,Read,Zipf,Crew,Shared,Local,32768,5,21372387
hashbrown,Read,Zipf,Crew,Shared,Local,32768,6,25668869
hashbrown,Read,Zipf,Crew,Shared,Local,32768,7,29988194
hashbrown,Read,Zipf,Crew,Shared,Local,32768,8,34287777
hashbrown,Read,Zipf,Crew,Shared,Local,32768,9,38591104
hashbrown,Read,Zipf,Crew,Shared,Local,32768,10,42865104
hashbrown,Read,Zipf,Crew,Shared,Local,32768,11,47177971
hashbrown,Read,Zipf,Crew,Shared,Local,32768,12,51494068
hashbrown,Read,Zipf,Crew,Shared,Local,32768,13,55775374
hashbrown,Read,Zipf,Crew,Shared,Local,32768,14,60153825
hashbrown,Read,Zipf,Crew,Shared,Local,32768,15,64365253
hashbrown,Read,Zipf,Crew,Shared,Local,32768,16,68736793
hashbrown,Read,Zipf,Crew,Shared,Local,65536,1,4055371
hashbrown,Read,Zipf,Crew,Shared,Local,65536,2,7993586
hashbrown,Read,Zipf,Crew,Shared,Local,65536,3,11971344
hashbrown,Read,Zipf,Crew,Shared,Local,65536,4,15969586
hashbrown,Read,Zipf,Crew,Shared,Local,65536,5,19992829
hashbrown,Read,Zipf,Crew,Shared,Local,65536,6,24014145
hashbrown,Read,Zipf,Crew,Shared,Local,65536,7,28093179
hashbrown,Read,Zipf,Crew,Shared,Local,65536,8,32173311
hashbrown,Read,Zipf,Crew,Shared,Local,65536,9,36212606
hashbrown,Read,Zipf,Crew,Shared,Local,65536,10,40302128
hashbrown,Read,Zipf,Crew,Shared,Local,65536,11,44414123
hashbrown,Read,Zipf,Crew,Shared,Local,65536,12,48555222
hashbrown,Read,Zipf,Crew,Shared,Local,65536,13,52659986
hashbrown,Read,Zipf,Crew,Shared,Local,65536,14,56792032
hashbrown,Read,Zipf,Crew,Shared,Local,65536,15,60938054
hashbrown,Read,Zipf,Crew,Shared,Local,65536,16,65008996
hashbrown,Read,Zipf,Crew,Shared,Local,1,1,5349514
