name,workload,distribution,access,lock,memory_affinity,partitions,threads,throughput
hashbrown,Read,Zipf,Crew,Shared,Local,1,1,5329515
hashbrown,Read,Zipf,Crew,Shared,Local,1,2,8638745
hashbrown,Read,Zipf,Crew,Shared,Local,1,3,10718356
hashbrown,Read,Zipf,Crew,Shared,Local,1,4,11039483
hashbrown,Read,Zipf,Crew,Shared,Local,1,5,10821341
hashbrown,Read,Zipf,Crew,Shared,Local,1,6,10783576
hashbrown,Read,Zipf,Crew,Shared,Local,1,7,10763674
hashbrown,Read,Zipf,Crew,Shared,Local,1,8,10755071
hashbrown,Read,Zipf,Crew,Shared,Local,1,9,11482831
hashbrown,Read,Zipf,Crew,Shared,Local,1,10,11361754
hashbrown,Read,Zipf,Crew,Shared,Local,1,11,11348993
hashbrown,Read,Zipf,Crew,Shared,Local,1,12,11443015
hashbrown,Read,Zipf,Crew,Shared,Local,1,13,11466468
hashbrown,Read,Zipf,Crew,Shared,Local,1,14,11191873
hashbrown,Read,Zipf,Crew,Shared,Local,1,15,10788876
hashbrown,Read,Zipf,Crew,Shared,Local,1,16,11653882
hashbrown,Read,Zipf,Crew,Shared,Local,16,1,6092822
hashbrown,Read,Zipf,Crew,Shared,Local,16,2,10304245
hashbrown,Read,Zipf,Crew,Shared,Local,16,3,12798293
hashbrown,Read,Zipf,Crew,Shared,Local,16,4,13533840
hashbrown,Read,Zipf,Crew,Shared,Local,16,5,13840801
hashbrown,Read,Zipf,Crew,Shared,Local,16,6,13715558
hashbrown,Read,Zipf,Crew,Shared,Local,16,7,13685728
hashbrown,Read,Zipf,Crew,Shared,Local,16,8,13616391
hashbrown,Read,Zipf,Crew,Shared,Local,16,9,13869732
hashbrown,Read,Zipf,Crew,Shared,Local,16,10,13514915
hashbrown,Read,Zipf,Crew,Shared,Local,16,11,13634740
hashbrown,Read,Zipf,Crew,Shared,Local,16,12,13780285
hashbrown,Read,Zipf,Crew,Shared,Local,16,13,13791392
hashbrown,Read,Zipf,Crew,Shared,Local,16,14,13419876
hashbrown,Read,Zipf,Crew,Shared,Local,16,15,13352059
hashbrown,Read,Zipf,Crew,Shared,Local,16,16,13360986
hashbrown,Read,Zipf,Crew,Shared,Local,256,1,6390695
hashbrown,Read,Zipf,Crew,Shared,Local,256,2,11331878
hashbrown,Read,Zipf,Crew,Shared,Local,256,3,14764669
hashbrown,Read,Zipf,Crew,Shared,Local,256,4,16392969
hashbrown,Read,Zipf,Crew,Shared,Local,256,5,17076309
hashbrown,Read,Zipf,Crew,Shared,Local,256,6,17005947
hashbrown,Read,Zipf,Crew,Shared,Local,256,7,16928620
hashbrown,Read,Zipf,Crew,Shared,Local,256,8,16771545
hashbrown,Read,Zipf,Crew,Shared,Local,256,9,16992866
hashbrown,Read,Zipf,Crew,Shared,Local,256,10,16915223
hashbrown,Read,Zipf,Crew,Shared,Local,256,11,16756005
hashbrown,Read,Zipf,Crew,Shared,Local,256,12,16658320
hashbrown,Read,Zipf,Crew,Shared,Local,256,13,16382442
hashbrown,Read,Zipf,Crew,Shared,Local,256,14,16306485
hashbrown,Read,Zipf,Crew,Shared,Local,256,15,16920263
hashbrown,Read,Zipf,Crew,Shared,Local,256,16,17073897
hashbrown,Read,Zipf,Crew,Shared,Local,1024,1,6366228
hashbrown,Read,Zipf,Crew,Shared,Local,1024,2,11415728
hashbrown,Read,Zipf,Crew,Shared,Local,1024,3,15292863
hashbrown,Read,Zipf,Crew,Shared,Local,1024,4,17440782
hashbrown,Read,Zipf,Crew,Shared,Local,1024,5,18723850
hashbrown,Read,Zipf,Crew,Shared,Local,1024,6,18944142
hashbrown,Read,Zipf,Crew,Shared,Local,1024,7,18816164
hashbrown,Read,Zipf,Crew,Shared,Local,1024,8,18560042
hashbrown,Read,Zipf,Crew,Shared,Local,1024,9,18593358
hashbrown,Read,Zipf,Crew,Shared,Local,1024,10,18932622
hashbrown,Read,Zipf,Crew,Shared,Local,1024,11,19035870
hashbrown,Read,Zipf,Crew,Shared,Local,1024,12,18869368
hashbrown,Read,Zipf,Crew,Shared,Local,1024,13,18897964
hashbrown,Read,Zipf,Crew,Shared,Local,1024,14,18750470
hashbrown,Read,Zipf,Crew,Shared,Local,1024,15,19224835
hashbrown,Read,Zipf,Crew,Shared,Local,1024,16,19271955
hashbrown,Read,Zipf,Crew,Shared,Local,2048,1,6300687
hashbrown,Read,Zipf,Crew,Shared,Local,2048,2,11536665
hashbrown,Read,Zipf,Crew,Shared,Local,2048,3,15474587
hashbrown,Read,Zipf,Crew,Shared,Local,2048,4,18196792
hashbrown,Read,Zipf,Crew,Shared,Local,2048,5,19185814
hashbrown,Read,Zipf,Crew,Shared,Local,2048,6,19630173
hashbrown,Read,Zipf,Crew,Shared,Local,2048,7,19685668
hashbrown,Read,Zipf,Crew,Shared,Local,2048,8,19564122
hashbrown,Read,Zipf,Crew,Shared,Local,2048,9,19305788
hashbrown,Read,Zipf,Crew,Shared,Local,2048,10,19622527
hashbrown,Read,Zipf,Crew,Shared,Local,2048,11,19474969
hashbrown,Read,Zipf,Crew,Shared,Local,2048,12,19604814
hashbrown,Read,Zipf,Crew,Shared,Local,2048,13,19526766
hashbrown,Read,Zipf,Crew,Shared,Local,2048,14,19577956
hashbrown,Read,Zipf,Crew,Shared,Local,2048,15,19500347
hashbrown,Read,Zipf,Crew,Shared,Local,2048,16,19561589
hashbrown,Read,Zipf,Crew,Shared,Local,4096,1,6227973
hashbrown,Read,Zipf,Crew,Shared,Local,4096,2,11550340
hashbrown,Read,Zipf,Crew,Shared,Local,4096,3,15892416
hashbrown,Read,Zipf,Crew,Shared,Local,4096,4,19063551
hashbrown,Read,Zipf,Crew,Shared,Local,4096,5,20673905
hashbrown,Read,Zipf,Crew,Shared,Local,4096,6,21502582
hashbrown,Read,Zipf,Crew,Shared,Local,4096,7,21574370
hashbrown,Read,Zipf,Crew,Shared,Local,4096,8,21494025
hashbrown,Read,Zipf,Crew,Shared,Local,4096,9,21170011
hashbrown,Read,Zipf,Crew,Shared,Local,4096,10,21287959
hashbrown,Read,Zipf,Crew,Shared,Local,4096,11,21053403
hashbrown,Read,Zipf,Crew,Shared,Local,4096,12,21155509
hashbrown,Read,Zipf,Crew,Shared,Local,4096,13,21093691
hashbrown,Read,Zipf,Crew,Shared,Local,4096,14,21213654
hashbrown,Read,Zipf,Crew,Shared,Local,4096,15,21117401
hashbrown,Read,Zipf,Crew,Shared,Local,4096,16,21140845
hashbrown,Read,Zipf,Crew,Shared,Local,8192,1,6137595
hashbrown,Read,Zipf,Crew,Shared,Local,8192,2,11394080
hashbrown,Read,Zipf,Crew,Shared,Local,8192,3,15708131
hashbrown,Read,Zipf,Crew,Shared,Local,8192,4,18904941
hashbrown,Read,Zipf,Crew,Shared,Local,8192,5,20583539
hashbrown,Read,Zipf,Crew,Shared,Local,8192,6,22417763
hashbrown,Read,Zipf,Crew,Shared,Local,8192,7,23556389
hashbrown,Read,Zipf,Crew,Shared,Local,8192,8,23636535
hashbrown,Read,Zipf,Crew,Shared,Local,8192,9,22791891
hashbrown,Read,Zipf,Crew,Shared,Local,8192,10,22908779
hashbrown,Read,Zipf,Crew,Shared,Local,8192,11,22649584
hashbrown,Read,Zipf,Crew,Shared,Local,8192,12,22764844
hashbrown,Read,Zipf,Crew,Shared,Local,8192,13,22691129
hashbrown,Read,Zipf,Crew,Shared,Local,8192,14,22823288
hashbrown,Read,Zipf,Crew,Shared,Local,8192,15,22721601
hashbrown,Read,Zipf,Crew,Shared,Local,8192,16,22749575
hashbrown,Read,Zipf,Crew,Shared,Local,16384,1,5991903
hashbrown,Read,Zipf,Crew,Shared,Local,16384,2,11298748
hashbrown,Read,Zipf,Crew,Shared,Local,16384,3,15975972
hashbrown,Read,Zipf,Crew,Shared,Local,16384,4,19823516
hashbrown,Read,Zipf,Crew,Shared,Local,16384,5,22468303
hashbrown,Read,Zipf,Crew,Shared,Local,16384,6,24434333
hashbrown,Read,Zipf,Crew,Shared,Local,16384,7,24501440
hashbrown,Read,Zipf,Crew,Shared,Local,16384,8,24822218
hashbrown,Read,Zipf,Crew,Shared,Local,16384,9,25476422
hashbrown,Read,Zipf,Crew,Shared,Local,16384,10,25113847
hashbrown,Read,Zipf,Crew,Shared,Local,16384,11,24904437
hashbrown,Read,Zipf,Crew,Shared,Local,16384,12,24726385
hashbrown,Read,Zipf,Crew,Shared,Local,16384,13,25046465
hashbrown,Read,Zipf,Crew,Shared,Local,16384,14,25019008
hashbrown,Read,Zipf,Crew,Shared,Local,16384,15,25077264
hashbrown,Read,Zipf,Crew,Shared,Local,16384,16,25052034
hashbrown,Read,Zipf,Crew,Shared,Local,32768,1,5818492
hashbrown,Read,Zipf,Crew,Shared,Local,32768,2,11028804
hashbrown,Read,Zipf,Crew,Shared,Local,32768,3,15808947
hashbrown,Read,Zipf,Crew,Shared,Local,32768,4,19736583
hashbrown,Read,Zipf,Crew,Shared,Local,32768,5,23049719
hashbrown,Read,Zipf,Crew,Shared,Local,32768,6,25331323
hashbrown,Read,Zipf,Crew,Shared,Local,32768,7,26480658
hashbrown,Read,Zipf,Crew,Shared,Local,32768,8,26836189
hashbrown,Read,Zipf,Crew,Shared,Local,32768,9,26259142
hashbrown,Read,Zipf,Crew,Shared,Local,32768,10,26629095
hashbrown,Read,Zipf,Crew,Shared,Local,32768,11,26391167
hashbrown,Read,Zipf,Crew,Shared,Local,32768,12,26536684
hashbrown,Read,Zipf,Crew,Shared,Local,32768,13,26429243
hashbrown,Read,Zipf,Crew,Shared,Local,32768,14,26509520
hashbrown,Read,Zipf,Crew,Shared,Local,32768,15,26423324
hashbrown,Read,Zipf,Crew,Shared,Local,32768,16,26497234
hashbrown,Read,Zipf,Crew,Shared,Local,65536,1,5652378
hashbrown,Read,Zipf,Crew,Shared,Local,65536,2,10829188
hashbrown,Read,Zipf,Crew,Shared,Local,65536,3,15656666
hashbrown,Read,Zipf,Crew,Shared,Local,65536,4,19866687
hashbrown,Read,Zipf,Crew,Shared,Local,65536,5,23606677
hashbrown,Read,Zipf,Crew,Shared,Local,65536,6,26401842
hashbrown,Read,Zipf,Crew,Shared,Local,65536,7,27536480
hashbrown,Read,Zipf,Crew,Shared,Local,65536,8,28642728
hashbrown,Read,Zipf,Crew,Shared,Local,65536,9,28915496
hashbrown,Read,Zipf,Crew,Shared,Local,65536,10,29213712
hashbrown,Read,Zipf,Crew,Shared,Local,65536,11,29018681
hashbrown,Read,Zipf,Crew,Shared,Local,65536,12,29330278
hashbrown,Read,Zipf,Crew,Shared,Local,65536,13,29194606
hashbrown,Read,Zipf,Crew,Shared,Local,65536,14,29312287
hashbrown,Read,Zipf,Crew,Shared,Local,65536,15,29250309
hashbrown,Read,Zipf,Crew,Shared,Local,65536,16,29350777
