name,workload,distribution,access,lock,memory_affinity,threads,throughput
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,1,5293951
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,2,10518490
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,3,15818744
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,4,21140868
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,5,26355420
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,6,31715349
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,7,36943382
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,8,42248716
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,9,47575717
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,10,52923344
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,11,58143415
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,12,63389177
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,13,68739647
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,14,74022368
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,15,79358946
hashbrown,YcsbB,Zipf,Crew,Shared,Local,1024,16,84579985
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,1,4237685
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,2,8341167
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,3,12512515
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,4,16668554
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,5,20770702
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,6,24932061
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,7,29164705
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,8,33386722
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,9,37469680
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,10,41670396
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,11,45855789
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,12,50026945
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,13,54237619
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,14,58372074
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,15,62530486
hashbrown,YcsbB,Zipf,Crew,Shared,Remote,1024,16,66766828
