name,workload,distribution,access,lock,memory_affinity,threads,throughput
hashbrown,Read,Uniform,Erew,Sharded,Local,1,3122174
hashbrown,Read,Uniform,Erew,Sharded,Local,2,6329509
hashbrown,Read,Uniform,Erew,Sharded,Local,3,9908960
hashbrown,Read,Uniform,Erew,Sharded,Local,4,12748974
hashbrown,Read,Uniform,Erew,Sharded,Local,5,17362939
hashbrown,Read,Uniform,Erew,Sharded,Local,6,20625242
hashbrown,Read,Uniform,Erew,Sharded,Local,7,23690626
hashbrown,Read,Uniform,Erew,Sharded,Local,8,26417566
hashbrown,Read,Uniform,Erew,Sharded,Local,9,30817956
hashbrown,Read,Uniform,Erew,Sharded,Local,10,35505965
hashbrown,Read,Uniform,Erew,Sharded,Local,11,39000269
hashbrown,Read,Uniform,Erew,Sharded,Local,12,42486216
hashbrown,Read,Uniform,Erew,Sharded,Local,13,45697989
hashbrown,Read,Uniform,Erew,Sharded,Local,14,48605547
hashbrown,Read,Uniform,Erew,Sharded,Local,15,51440471
hashbrown,Read,Uniform,Erew,Sharded,Local,16,53938382
hashbrown,Read,Uniform,Erew,Shared,Local,1,3025794
hashbrown,Read,Uniform,Erew,Shared,Local,2,6163510
hashbrown,Read,Uniform,Erew,Shared,Local,3,9617347
hashbrown,Read,Uniform,Erew,Shared,Local,4,12432044
hashbrown,Read,Uniform,Erew,Shared,Local,5,16828175
hashbrown,Read,Uniform,Erew,Shared,Local,6,20019199
hashbrown,Read,Uniform,Erew,Shared,Local,7,23014892
hashbrown,Read,Uniform,Erew,Shared,Local,8,25733396
hashbrown,Read,Uniform,Erew,Shared,Local,9,29903880
hashbrown,Read,Uniform,Erew,Shared,Local,10,34373952
hashbrown,Read,Uniform,Erew,Shared,Local,11,37711115
hashbrown,Read,Uniform,Erew,Shared,Local,12,41026603
hashbrown,Read,Uniform,Erew,Shared,Local,13,44297540
hashbrown,Read,Uniform,Erew,Shared,Local,14,47173387
hashbrown,Read,Uniform,Erew,Shared,Local,15,49540088
